;config_221_avg
Standard_Acc;98,8426
RMSCE;0,0579
gaussian_noise;97,3168
shot_noise;97,4615
impulse_noise;97,9613
defocus_blur;61,9887
glass_blur;47,5207
motion_blur;51,2429
zoom_blur;28,9491
snow;96,3699
frost;97,4089
fog;97,9350
brightness;98,4348
contrast;98,2901
elastic_transform;92,6739
pixelate;66,3554
jpeg_compression;95,0940
speckle_noise;95,6596
gaussian_blur;68,5650
spatter;92,2531
saturate;98,8163
blue_noise;91,2929
brownish_noise;98,6190
checkerboard_cutout;58,6084
circular_motion_blur;71,7743
inverse_sparkles;80,5866
lines;58,4638
pinch_and_twirl;97,3037
ripple;93,4500
sparkles;60,5419
transverse_chromatic_abberation;60,4367
Acc_C-all-19;83,1735
Acc_C-original-15;81,6669
Acc_C-bar-10;77,1077
Acc_all-ex-pixelwise-noise-24;77,9868
RMSCE_C;0,0863
uniform-l1,130.9,False,max;98,5664
uniform-l2,2.611,False,max;98,5400
uniform-linf,0.1303,False,max;98,1455
uniform-l0.5,700000.0,True,max;98,5664
uniform-l1,125.0,True,max;98,5532
uniform-l2,2.0,True,max;98,5664
uniform-l10,0.06,True,max;98,5532
uniform-l50,0.04,True,max;98,5269
uniform-linf,0.01,True,max;98,5532
uniform-l0-impulse,0.01,True,max;98,5400
uniform-l0-impulse,0.02,True,max;98,3691
uniform-l0-impulse,0.05,True,max;98,1586
uniform-l0-impulse,0.1,True,max;97,0406
uniform-l0-impulse,0.2,True,max;89,5962
uniform-l0-impulse,0.5,True,max;24,9244
uniform-l0.5,500000.0,False,max;98,5927
uniform-l0.5,1000000.0,False,max;98,5664
uniform-l0.5,2000000.0,False,max;98,5400
uniform-l0.5,5000000.0,False,max;98,2244
uniform-l0.5,10000000.0,False,max;97,2248
uniform-l0.5,20000000.0,False,max;86,9131
uniform-l1,100.0,False,max;98,5532
uniform-l1,200.0,False,max;98,5400
uniform-l1,500.0,False,max;98,4217
uniform-l1,1000.0,False,max;97,7377
uniform-l1,2000.0,False,max;90,7273
uniform-l1,5000.0,False,max;19,2161
uniform-l2,1.0,False,max;98,5532
uniform-l2,2.0,False,max;98,5664
uniform-l2,5.0,False,max;98,4874
uniform-l2,10.0,False,max;98,0008
uniform-l2,20.0,False,max;93,8182
uniform-l2,50.0,False,max;18,3875
uniform-l10,0.05,False,max;98,5664
uniform-l10,0.1,False,max;98,4874
uniform-l10,0.2,False,max;98,4217
uniform-l10,0.5,False,max;96,6329
uniform-l10,1.0,False,max;61,1864
uniform-l10,2.0,False,max;2,7226
uniform-l50,0.02,False,max;98,5664
uniform-l50,0.05,False,max;98,5400
uniform-l50,0.1,False,max;98,4348
uniform-l50,0.2,False,max;97,7114
uniform-l50,0.5,False,max;67,6970
uniform-l50,1.0,False,max;2,8410
uniform-linf,0.01,False,max;98,5795
uniform-linf,0.02,False,max;98,5795
uniform-linf,0.05,False,max;98,5006
uniform-linf,0.1,False,max;98,3559
uniform-linf,0.2,False,max;97,5404
uniform-linf,0.5,False,max;54,4785
Class Separation Robustness;98,4173
imperceptible Robustness;98,5532
Average p-norm robustness;84,7510
