;config_245_avg;config_245_std;config_245_run_0;config_245_run_1;config_245_run_2
Standard_Acc;99,0968;0,0164;99,0793;99,1188;99,0925
RMSCE;0,0563;0,0007;0,0554;0,0567;0,0569
gaussian_noise;67,4558;10,1614;53,1106;75,3650;73,8919
shot_noise;82,1430;6,1935;73,6814;84,4140;88,3336
impulse_noise;76,8162;1,8151;77,5220;78,6006;74,3259
defocus_blur;33,6139;1,6629;35,7622;33,3684;31,7112
glass_blur;38,9013;0,7301;39,0767;39,6949;37,9324
motion_blur;39,4537;1,1550;41,0627;38,8925;38,4059
zoom_blur;16,2348;1,1978;17,8745;15,7832;15,0467
snow;73,5981;1,4015;73,6025;75,3124;71,8795
frost;79,9684;2,2158;79,1135;83,0067;77,7851
fog;97,9131;0,1842;98,1192;97,9482;97,6720
brightness;96,7381;1,0447;97,7640;97,1459;95,3045
contrast;98,8601;0,0875;98,7373;98,9083;98,9346
elastic_transform;71,0027;3,2004;70,9588;74,9441;67,1051
pixelate;47,5558;0,0164;47,5602;47,5733;47,5339
jpeg_compression;78,0613;9,1233;65,2506;85,7951;83,1382
speckle_noise;72,8923;7,6896;62,3175;75,9832;80,3762
gaussian_blur;37,7658;1,0533;39,2477;36,8933;37,1564
spatter;72,5810;1,7127;70,1697;73,5894;73,9840
saturate;99,0881;0,0270;99,0530;99,1188;99,0925
blue_noise;41,1460;8,4075;30,5143;51,0719;41,8519
brownish_noise;93,2702;2,1919;94,6732;94,9625;90,1749
checkerboard_cutout;22,8024;3,3557;22,1492;27,1998;19,0583
circular_motion_blur;33,6095;1,6794;33,7761;35,5781;31,4744
inverse_sparkles;31,6235;3,5840;26,5553;34,2102;34,1050
lines;27,4716;2,0151;30,2907;26,4238;25,7004
pinch_and_twirl;59,1477;4,0428;63,8827;59,5554;54,0050
ripple;71,2394;1,9218;70,9588;73,7209;69,0385
sparkles;31,9216;2,2018;29,1201;32,1452;34,4995
transverse_chromatic_abberation;50,0329;0,2512;49,6778;50,2039;50,2170
Acc_C-all-19;67,4023;1,5900;65,2623;69,0704;67,8742
Acc_C-original-15;66,5544;1,5668;64,6131;68,4502;66,6000
Acc_C-bar-10;46,2265;1,6138;45,1598;48,5072;45,0125
Acc_all-ex-pixelwise-noise-24;58,4356;0,8994;58,1015;59,6656;57,5398
RMSCE_C;0,0825;0,0012;0,0810;0,0827;0,0838
uniform-l1,204.5,False,max;97,5273;0,7645;98,0008;98,1323;96,4488
uniform-l2,5.84,False,max;88,2766;1,5182;86,1634;89,0043;89,6620
