time;train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_robust;valid_accuracy_swa;valid_accuracy_robust_swa
2866,0646;2,4069;0,6197;2,6305;0,5408;2,8448;2,6305;2,8448
5244,7473;3,5874;0,5818;5,5767;0,4745;5,3276;5,5767;5,3276
7437,0717;9,6311;0,5432;21,8466;0,3307;13,2241;21,8466;13,2241
9699,2164;19,7751;0,5004;34,9599;0,2742;20,8448;34,9599;20,8448
12576,0375;32,5628;0,4701;43,4960;0,2642;30,6897;43,4960;30,6897
14549,0065;40,3492;0,4507;58,1876;0,2035;35,6897;58,1876;35,6897
16752,4653;45,7484;0,4373;46,1791;0,2137;31,9655;46,1791;31,9655
19067,5981;53,3737;0,4252;84,7429;0,1456;55,0517;84,7429;55,0517
21727,0620;60,9430;0,4125;90,9904;0,1088;58,5000;90,9904;58,5000
23129,2376;64,5173;0,4043;91,4639;0,1259;61,1552;91,4639;61,1552
26060,7516;66,1548;0,3999;94,2128;0,1044;62,6897;94,2128;62,6897
29093,8044;67,6937;0,3966;93,4763;0,1175;58,2931;93,4763;58,2931
31359,2208;68,4105;0,3942;93,5552;0,1091;65,8966;93,5552;65,8966
33840,0466;69,5811;0,3921;94,5942;0,1080;64,9655;94,5942;64,9655
36372,7044;69,9954;0,3903;95,8964;0,0946;68,4138;95,8964;68,4138
39254,2983;70,4261;0,3895;94,6205;0,0934;69,8103;94,6205;69,8103
42195,8215;71,4159;0,3870;93,3842;0,0994;61,8966;93,3842;61,8966
42619,0727;71,8401;0,3864;96,0542;0,0955;68,5345;96,0542;68,5345
43192,6211;72,2116;0,3854;94,9625;0,0937;69,6552;94,9625;69,6552
43747,5363;72,4977;0,3849;95,3439;0,0866;65,7931;95,3439;65,7931
44489,1490;72,9646;0,3833;96,0542;0,0917;65,0172;96,0542;65,0172
45270,4504;73,0830;0,3831;95,5412;0,0907;69,5000;95,5412;69,5000
45872,3017;73,6255;0,3818;95,7517;0,0890;70,9483;95,7517;70,9483
46693,7000;74,0333;0,3808;95,7254;0,0927;65,0000;95,7254;65,0000
47059,7789;74,0234;0,3808;94,8968;0,0989;66,4138;94,8968;66,4138
47566,4837;74,2700;0,3805;96,2909;0,0852;68,3793;96,2909;68,3793
48141,4101;74,5890;0,3790;95,1730;0,0965;64,8966;95,1730;64,8966
49072,5695;74,8586;0,3787;95,0940;0,0941;64,5172;95,0940;64,5172
49870,2791;75,1973;0,3782;96,6724;0,0861;68,6034;96,6724;68,6034
50513,8993;75,1447;0,3787;96,5145;0,0868;70,1207;96,5145;70,1207
51151,8065;74,9967;0,3781;95,4097;0,0996;64,1724;95,4097;64,1724
51534,5859;75,4143;0,3780;96,8170;0,0951;71,4655;96,8170;71,4655
52390,5094;76,0226;0,3768;96,4488;0,0814;71,1207;96,4488;71,1207
53179,5340;75,6807;0,3773;95,8569;0,0872;66,5517;95,8569;66,5517
53760,8707;76,0193;0,3763;96,5277;0,0804;68,7241;96,5277;68,7241
54341,3608;76,0719;0,3763;96,8039;0,0902;70,2931;96,8039;70,2931
54978,2962;76,4830;0,3752;94,8704;0,0828;63,1724;94,8704;63,1724
55623,8550;76,2396;0,3758;96,4356;0,0819;69,2931;96,4356;69,2931
56015,1163;76,3745;0,3752;96,6987;0,0869;71,2069;96,6987;71,2069
56639,0979;76,8184;0,3742;96,5671;0,0863;66,3448;96,5671;66,3448
57643,9401;76,6178;0,3745;96,2778;0,0922;66,3793;96,2778;66,3793
58821,3254;77,3741;0,3734;96,3830;0,0864;64,6724;96,3830;64,6724
60038,4337;76,9269;0,3737;96,8039;0,0844;61,6552;96,8039;61,6552
61057,0002;77,5615;0,3728;95,9358;0,0880;68,2241;95,9358;68,2241
62204,3855;77,3017;0,3735;96,8697;0,0969;62,4310;96,8697;62,4310
63509,3580;77,9791;0,3724;96,7907;0,0832;68,2931;96,7907;68,2931
64277,8300;77,6897;0,3727;97,2116;0,0898;67,6724;97,2116;67,6724
65423,2894;77,5878;0,3721;97,0538;0,0862;65,0000;97,0538;65,0000
